127.0.0.1 - - [23/Apr/2016:21:36:07 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:36:15 +0800] "GET /eduassistem/index.jsp HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:36:15 +0800] "GET /eduassistem/js/logincheck.js HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:36:19 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:36:19 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:36:26 +0800] "POST /eduassistem/Login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:36:28 +0800] "GET /eduassistem/student.jsp HTTP/1.1" 200 1072
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:36:28 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:36:28 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:36:31 +0800] "GET /eduassistem/student_coursesel.jsp HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:36:31 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:36:31 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:36:35 +0800] "POST /eduassistem/student_coursesel_execute.jsp HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:36:38 +0800] "GET /eduassistem/student_coursesel.jsp HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:36:38 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:36:38 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:36:41 +0800] "GET /eduassistem/student_courseque.jsp HTTP/1.1" 200 1126
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:36:42 +0800] "GET /eduassistem/student.jsp HTTP/1.1" 200 1072
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:36:42 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:36:42 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:36:44 +0800] "GET /eduassistem/student_coursesel.jsp HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:36:44 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:36:44 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:36:46 +0800] "POST /eduassistem/student_coursesel_execute.jsp HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:36:47 +0800] "GET /eduassistem/student_coursesel.jsp HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:36:48 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:36:48 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:38:36 +0800] "GET /eduassistem/index.jsp HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:38:37 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:38:37 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:38:46 +0800] "POST /eduassistem/Login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:38:46 +0800] "GET /eduassistem/student.jsp HTTP/1.1" 200 1072
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:38:47 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:38:47 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:39:35 +0800] "GET /eduassistem/student_coursesel.jsp HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:39:35 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:39:35 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:39:37 +0800] "POST /eduassistem/student_coursesel_execute.jsp HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:39:39 +0800] "GET /eduassistem/student_coursesel.jsp HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:39:39 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:39:39 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
