127.0.0.1 - - [09/May/2016:11:33:50 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:06 +0800] "GET /eduassistem/index.jsp HTTP/1.1" 200 1081
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:06 +0800] "GET /eduassistem/js/logincheck.js HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:09 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:09 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:21 +0800] "POST /eduassistem/Login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:21 +0800] "GET /eduassistem/student.jsp HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:21 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:21 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:24 +0800] "GET /eduassistem/student_filedownload.jsp HTTP/1.1" 200 1021
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:24 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:24 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:32 +0800] "GET /eduassistem/student_course.jsp HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:32 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:32 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:34 +0800] "GET /eduassistem/student_info.jsp HTTP/1.1" 200 1251
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:34 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:34 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:35 +0800] "GET /eduassistem/student_filedownload.jsp HTTP/1.1" 200 1021
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:35 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:35 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:37 +0800] "GET /eduassistem/index.jsp HTTP/1.1" 200 1081
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:37 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:37 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:43 +0800] "POST /eduassistem/Login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:43 +0800] "GET /eduassistem/teacher.jsp HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:43 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:43 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:44 +0800] "GET /eduassistem/teacher_fileupload.jsp HTTP/1.1" 200 1357
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:45 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/May/2016:11:35:45 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/May/2016:11:36:40 +0800] "POST /eduassistem/servlet/UploadHandleServlet HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [09/May/2016:11:36:40 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/May/2016:11:36:40 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/May/2016:11:36:45 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/May/2016:11:36:45 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/May/2016:11:36:47 +0800] "GET /eduassistem/index.jsp HTTP/1.1" 200 1081
0:0:0:0:0:0:0:1 - - [09/May/2016:11:36:47 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
